solution,plate_well,user_input
CS031,ivl_384_flat_v1_0001|1,88.0
CS033,ivl_384_flat_v1_0001|3,88.0
ABI-131-N1,ivl_96_dw_v1_0001|1,660.0
D004-P1,ivl_96_dw_v1_0001|10,660.0
R007-N1,ivl_96_dw_v1_0001|11,660.0
R007-P1,ivl_96_dw_v1_0001|12,660.0
ABI-131-P1,ivl_96_dw_v1_0001|2,660.0
D001-N1,ivl_96_dw_v1_0001|3,660.0
D001-P1,ivl_96_dw_v1_0001|4,660.0
D002-N1,ivl_96_dw_v1_0001|5,660.0
D002-P1,ivl_96_dw_v1_0001|6,660.0
D003-N1,ivl_96_dw_v1_0001|7,660.0
D003-P1,ivl_96_dw_v1_0001|8,660.0
D004-N1,ivl_96_dw_v1_0001|9,660.0
