rep,0_6,1_6,destination
0,CS031,ABI-131-N1,1
0,CS031,ABI-131-P1,2
0,CS031,D001-N1,3
0,CS031,D001-P1,4
0,CS031,D002-N1,5
0,CS031,D002-P1,6
0,CS031,D003-N1,7
0,CS031,D003-P1,8
0,CS031,D004-N1,9
0,CS031,D004-P1,10
0,CS031,R007-N1,11
0,CS031,R007-P1,12
0,CS033,ABI-131-N1,13
0,CS033,ABI-131-P1,14
0,CS033,D001-N1,15
0,CS033,D001-P1,16
0,CS033,D002-N1,17
0,CS033,D002-P1,18
0,CS033,D003-N1,19
0,CS033,D003-P1,20
0,CS033,D004-N1,21
0,CS033,D004-P1,22
0,CS033,R007-N1,23
0,CS033,R007-P1,24
1,CS031,ABI-131-N1,25
1,CS031,ABI-131-P1,26
1,CS031,D001-N1,27
1,CS031,D001-P1,28
1,CS031,D002-N1,29
1,CS031,D002-P1,30
1,CS031,D003-N1,31
1,CS031,D003-P1,32
1,CS031,D004-N1,33
1,CS031,D004-P1,34
1,CS031,R007-N1,35
1,CS031,R007-P1,36
1,CS033,ABI-131-N1,37
1,CS033,ABI-131-P1,38
1,CS033,D001-N1,39
1,CS033,D001-P1,40
1,CS033,D002-N1,41
1,CS033,D002-P1,42
1,CS033,D003-N1,43
1,CS033,D003-P1,44
1,CS033,D004-N1,45
1,CS033,D004-P1,46
1,CS033,R007-N1,47
1,CS033,R007-P1,48
2,CS031,ABI-131-N1,49
2,CS031,ABI-131-P1,50
2,CS031,D001-N1,51
2,CS031,D001-P1,52
2,CS031,D002-N1,53
2,CS031,D002-P1,54
2,CS031,D003-N1,55
2,CS031,D003-P1,56
2,CS031,D004-N1,57
2,CS031,D004-P1,58
2,CS031,R007-N1,59
2,CS031,R007-P1,60
2,CS033,ABI-131-N1,61
2,CS033,ABI-131-P1,62
2,CS033,D001-N1,63
2,CS033,D001-P1,64
2,CS033,D002-N1,65
2,CS033,D002-P1,66
2,CS033,D003-N1,67
2,CS033,D003-P1,68
2,CS033,D004-N1,69
2,CS033,D004-P1,70
2,CS033,R007-N1,71
2,CS033,R007-P1,72
3,CS031,ABI-131-N1,73
3,CS031,ABI-131-P1,74
3,CS031,D001-N1,75
3,CS031,D001-P1,76
3,CS031,D002-N1,77
3,CS031,D002-P1,78
3,CS031,D003-N1,79
3,CS031,D003-P1,80
3,CS031,D004-N1,81
3,CS031,D004-P1,82
3,CS031,R007-N1,83
3,CS031,R007-P1,84
3,CS033,ABI-131-N1,85
3,CS033,ABI-131-P1,86
3,CS033,D001-N1,87
3,CS033,D001-P1,88
3,CS033,D002-N1,89
3,CS033,D002-P1,90
3,CS033,D003-N1,91
3,CS033,D003-P1,92
3,CS033,D004-N1,93
3,CS033,D004-P1,94
3,CS033,R007-N1,95
3,CS033,R007-P1,96
